sb177;null;sb175;[sb176,2506.0,41.0,33.0,38.0]
sb178;null;sb176;[sb177,2539.0,43.0,41.0,37.0]
sb179;null;sb177;[sb178,2580.0,43.0,17.0,19.0]
sb180;null;sb178;[sb179,2597.0,44.0,46.0,34.0]
sb181;null;sb179;[sb180,2643.0,48.0,19.0,40.0]
sb182;null;sb180;[sb181,2662.0,48.0,30.0,28.0]
sb183;null;sb181;[sb182,2692.0,48.0,45.0,24.0]
sb184;null;sb182;[sb183,2737.0,42.0,33.0,39.0]
sb185;null;sb183;[sb184,2770.0,24.0,46.0,25.0]
sb186;null;sb184;[sb185,2816.0,47.0,27.0,34.0]
sb254;null;sb185;[sb186,2843.0,47.0,31.0,33.0]
sb188;null;sb186;[sb254,1977.0,77.0,24.0,13.0]
null;null;sb254;[sb188,0.0,53.0,37.0,40.0]
sb190;sb207;sb170;[sb189,37.0,78.0,44.0,12.0]
sb191;null;sb189;[sb190,81.0,78.0,37.0,27.0]
sb192;null;sb190;[sb191,118.0,80.0,16.0,34.0]
sb193;null;sb191;[sb192,134.0,80.0,29.0,48.0]
sb194;null;sb192;[sb193,163.0,81.0,33.0,17.0]
sb195;null;sb193;[sb194,196.0,81.0,28.0,13.0]
sb196;null;sb194;[sb195,224.0,81.0,33.0,13.0]
sb197;null;sb195;[sb196,257.0,67.0,41.0,41.0]
sb198;null;sb196;[sb197,298.0,65.0,37.0,28.0]
sb199;null;sb197;[sb198,335.0,81.0,48.0,19.0]
sb200;null;sb198;[sb199,383.0,81.0,31.0,36.0]
sb201;null;sb199;[sb200,414.0,80.0,37.0,43.0]
sb202;null;sb200;[sb201,457.0,80.0,26.0,29.0]
sb203;null;sb201;[sb202,483.0,88.0,34.0,39.0]
sb204;null;sb202;[sb203,517.0,88.0,15.0,28.0]
sb205;null;sb203;[sb204,532.0,86.0,41.0,33.0]
sb206;null;sb204;[sb205,573.0,69.0,21.0,15.0]
null;null;sb205;[sb206,594.0,69.0,42.0,35.0]
sb208;sb227;sb189;[sb207,636.0,88.0,33.0,28.0]
sb209;null;sb207;[sb208,669.0,88.0,27.0,20.0]
sb210;null;sb208;[sb209,696.0,51.0,45.0,36.0]
sb211;null;sb209;[sb210,741.0,64.0,13.0,24.0]
sb212;null;sb210;[sb211,754.0,64.0,16.0,12.0]
sb213;null;sb211;[sb212,770.0,81.0,21.0,42.0]
sb214;null;sb212;[sb213,791.0,81.0,32.0,14.0]
sb215;null;sb213;[sb214,823.0,85.0,17.0,27.0]
sb216;null;sb214;[sb215,840.0,85.0,29.0,21.0]
sb217;null;sb215;[sb216,869.0,76.0,42.0,19.0]
sb218;null;sb216;[sb217,911.0,68.0,20.0,48.0]
sb219;null;sb217;[sb218,931.0,72.0,43.0,15.0]
sb220;null;sb218;[sb219,974.0,81.0,28.0,18.0]
sb221;null;sb219;[sb220,1002.0,88.0,30.0,37.0]
sb222;null;sb220;[sb221,1032.0,88.0,13.0,45.0]
sb223;null;sb221;[sb222,1045.0,88.0,34.0,25.0]
